ID,City,Country,Lat,Lon
1,London,United Kingdom,51.530605,-0.133185
2,Prague,Czech Republic,50.076898,14.434136
3,Sol,Austria,47.504512,12.19255
4,Bruge,Belgium,51.210225,3.225422
5,Bansko,Bulgaria,41.840877,23.486058
6,Dubrovnik,Croatia,42.651775,18.094054
7,Käsivarrentie,Finland,69.047192,20.805074
8,Paris,France,48.855068,2.351855
9,Berlin,Germany,52.522703,13.397449
10,Crete,Greece,35.198615,25.02227
11,Corfu,Greece,39.591743,19.858505
12,Rhodes,Greece,36.199627,27.967231
13,Budapest,Hungary,47.499285,19.034212
14,Naples,Italy,40.914556,14.27239
15,Sicily,Italy,38.117946,13.373121
16,Venice,Italy,45.452735,12.285775
17,Belfast,"Northern, Ireland",54.611829,-5.930697
18,Oslo,Norway,59.938096,10.755232
19,Tromso,Norway,69.66377,18.96168
20,Krakow,Poland,50.065633,19.937647
21,Lagos,Portugal,37.109757,-8.673396
22,Edinburgh,Scotland,55.967563,-3.188063
23,Glasgow,Scotland,55.890525,-4.379304
24,Malaga,Spain,36.72543,-4.430682
25,Mallorca,Spain,39.575472,2.633823
26,Barcelona,Spain,41.408267,2.180692
27,Stockholm,Sweden,59.345665,18.06056
28,Geneva,Switzerland,46.204425,6.142543
29,Amsterdam,Netherlands,52.368249,4.895959
30,Marmaris,Turkey,36.853418,28.294926
31,Cardiff,Wales,51.493494,-3.181733
32,Kuala Lumpur,Malaysia,3.138654,101.700933
33,Langkawi,Malaysia,6.364656,99.779711
34,Bridgetown,Barbados,13.178079,-59.549684
35,Vancouver,Canada,49.283107,-123.120397
36,San Francisco,United States,37.894704,-122.455889
37,Los Angeles,United States,34.093378,-118.241125
38,Miami,United States,25.76308,-80.206134
39,Las Vegas,United States,36.215476,-115.177757
40,New Jersey,United States,40.678528,-74.626004
41,New York,United States,40.714591,-74.015347
42,Portland,United States,45.518021,-122.675109
43,Seattle,United States,47.613404,-122.364146
44,Denver,United States,39.743858,-104.995262
45,Dallas,United States,32.732186,-96.748021
46,Austin,United States,30.300908,-97.733854
47,Sharm El-Sheikh,Egypt,27.905806,34.317267
48,Marrakesh,Morocco,31.636907,-7.993575
49,Dar es Salaam,United Republic of Tanzania,-6.795343,39.210421
